package Sundance::rurban::2024; # -*- perl -*-
#!/usr/bin/perl
# Sundance 2024 Critics Ratings, 18.1.2024 - 28.1.
# {'A+' => 10,  'A' => 9,   'A-' => 8,
#  'B+' => 7,   'B' => 6,   'B-' => 5,
#  'C+' => 4,   'C' => 3,   'C-' => 2,
#  'D+' => 1.5, 'D' => 1,   'D-' => 1,
#  'E+' => 0.5, 'E' => 0.5, 'E-' => 0.5,
#  'F+' => 0,   'F' => 0,   'F-' => 0};
# SLCWeekly: 0-4stars:
# 0.5 - 1.25, 1 - 2.5, 1.5 - 3.75, 2 -> 5, 2.5 - 6.25, 3 - 7.5, 3.5 - 8.75, 4 - 10

use utf8;
our $DATA= <<'EOF';

U.S. DRAMATIC COMPETITION

"Between the Temples" (Nathan Silver) [U.S. Dramatic]
 — A cantor in a crisis of faith finds his world turned upside down when his grade school music teacher reenters his life as his new adult bat mitzvah student. Cast: Jason Schwartzman, Carol Kane, Dolly de Leon, Caroline Aaron, Robert Smigel, Madeline Weinstein. World Premiere. Available online for Public.

heatheruroff        10
samdavisdp          10
two phones          10   https://letterboxd.com/shittytakes/film/didi-2024/
Julia               10   https://letterboxd.com/jhavemann/film/didi-2024/
worm_emoji          10   https://letterboxd.com/worm_emoji/film/didi-2024/
Myownpath           10   https://letterboxd.com/myownpath/film/didi-2024/
isabella            10   https://letterboxd.com/isaamess/film/didi-2024/
ghgilbert           10   https://letterboxd.com/ghgilbert/film/didi-2024/
kierstenballard     10   https://letterboxd.com/kierstenballard/film/didi-2024/
Congrui             10
LilGuy              10
ajbourscheid6       10
thekpr              10   https://letterboxd.com/thekpr/film/didi-2024/
nmahar              10   https://letterboxd.com/nmahar/film/didi-2024/
Claire Loudis       10
audreyhui           10   https://letterboxd.com/audreyhui/film/didi-2024/
Page Brady          10
agg                 10   https://letterboxd.com/agg/film/didi-2024/
jacob_young5        10   https://letterboxd.com/jacob_young5/film/didi-2024/
Hayes18             10
N8Shoo              10
Christoph Tunderson 10
tobiwan89           10
yogieburr           10
Roan Oberg          10
smilitante          9
shaneloves          9
Lini                9
noah__hensley       9   https://letterboxd.com/noah__hensley/film/didi-2024/
Gregory Foltynowicz 9
jossfilms           9
Dor                 9
Li Lai              9
erichmond           9
Vivek               9
Shahamat            9   https://letterboxd.com/ushahamat/film/didi-2024/
Luke D'Agnese       9   https://letterboxd.com/lukedagnese/film/didi-2024/
antoniojdeleon      9
Toge Inumaki        8
John Kim            8
Yvette              8
Allan Peng          8
Jim Ng              8   https://letterboxd.com/nyczjester/film/didi-2024/
Mosquino            8
Travis Knox         8   https://letterboxd.com/t_knox/film/didi-2024/
Brother Bro         8   https://letterboxd.com/brotherbro/film/didi-2024/
kong ayanami        8
The Oscar Expert    8
Aud                 8
LL95                8
Arash Azizi         8
mel!na              8
Amber Jo            8
tylol               8
Scott Renshaw       8   https://letterboxd.com/scottrenshaw/film/didi-2024/
BrighamTaylor       8
Jake_J              8
heyriley            8   https://letterboxd.com/heyriley/film/didi-2024/
Cinema_Snobb        8   https://letterboxd.com/cinema_snobb/film/didi-2024/
yocoop3000          8
desha47             8
Meghan Oretsky      8
sillyajay           8   https://letterboxd.com/sillyajay/film/didi-2024/
Quinnifer           8
Alvaro de la Cruz   8
2mm2                8
David Chen          8   https://letterboxd.com/davechen/film/didi-2024/
liv                 8   https://letterboxd.com/byebyebikiniss/film/didi-2024/
gargomaster         8   https://letterboxd.com/gargomaster/film/didi-2024/
tylersimon          8
Tyler Walczak       8
dawsonthomas        7   https://letterboxd.com/dawsonthomas/film/didi-2024/
Gooner1886          7
ahmassaro           7
itscourtney         7   https://letterboxd.com/itscourtney/film/didi-2024/
doug22179           7   https://letterboxd.com/doug22179/film/didi-2024/
Grubby Cole         7
brandenmcclure      7
Liz ;_              7
Ellenbergb          7
Shannon Williams    7
alexcmurphy         7
Kate Sensenig       7
saborrow            6
Jordan Raup         6
kwk                 6
Dean                6
Skyler              5
Yortj               5
gremlins3           5

"Exhibiting Forgiveness" (Titus Kaphar) [U.S. Dramatic]
 — Utilizing his paintings to find freedom from his past, a Black artist on the path to success is derailed by an unexpected visit from his estranged father, a recovering addict desperate to reconcile. Together, they learn that forgetting might be a greater challenge than forgiving. Cast: André Holland, John Earl Jelks, Andra Day, Aunjanue Ellis-Taylor. World Premiere. Available online for Public.

Owen Gleiberman         https://variety.com/2024/film/reviews/exhibiting-forgiveness-review-sundance-film-festival-1235875671/
Jordan Raup             https://thefilmstage.com/sundance-review-exhibiting-forgiveness-is-an-emotional-yet-overwrought-tale-of-painful-reconciliation/
#letterboxd
aashijhawar         10
iloveleh2           10
Tiana               10   https://letterboxd.com/tianadeniseee/film/exhibiting-forgiveness/
Natalie Green       10
brendan_izu         10   https://letterboxd.com/brendan_izu/film/exhibiting-forgiveness/
Bella               10   https://letterboxd.com/definitely_bs/film/exhibiting-forgiveness/
Keaton Merrell      10   https://letterboxd.com/keatonmerrell/film/exhibiting-forgiveness/
mattyopps           10
olegault            10
ajbt200128          10
Catherine           10
Dylan               9
izzyck              9   https://letterboxd.com/izzyck/film/exhibiting-forgiveness/
spencerbentley      9   https://letterboxd.com/spencerbentley/film/exhibiting-forgiveness/
Brian Rowe          9   https://letterboxd.com/brianrowe/film/exhibiting-forgiveness/
kirbo               9
alaincarles         9   https://letterboxd.com/alaincarles/film/exhibiting-forgiveness/
Luigi               9   https://letterboxd.com/cardinal92/film/exhibiting-forgiveness/
Coryjex13           9
apbarron            9
Adam Manery         9
chw4jm              8
QueerFilmLovrNY     8
Dave                8
whitofsoph          8   https://letterboxd.com/whitofsoph/film/exhibiting-forgiveness/
Philip Utley        8
Justin Knoepfel     8
Mosquino            8
coolcubanguy        8
Aden                8   https://letterboxd.com/cityhallsteph/film/exhibiting-forgiveness/
Jamie Broadnax      8   https://letterboxd.com/jamiebgn/film/exhibiting-forgiveness/
Kolby9k             8   https://letterboxd.com/kolby9k/film/exhibiting-forgiveness/
Liz ;_              8
Alexander Hadden    8
Hudson              8
Alex Billington     8
Landry Harlan       7
Jordan Foxworthy    7
Jordan Raup         6   https://letterboxd.com/thefilmstage/film/exhibiting-forgiveness/
Deborah Margraff    6
hannahsperling      6   https://letterboxd.com/hannahsperling/film/exhibiting-forgiveness/
Brian Bodel         6
magic2do            6
seanryan            6
Steve Conzo         6
tommartorano        6
PatrickDarmody      4   https://letterboxd.com/patrickdarmody/film/exhibiting-forgiveness/
Noah Davis          4
Benny               4

"Good One" (India Donaldson) [U.S. Dramatic]
 — On a weekend backpacking trip in the Catskills, 17-year-old Sam contends with the competing egos of her father and his oldest friend. Cast: Lily Collias, James Le Gros, Danny McCarthy. World Premiere. Available online for Public.

#letterboxd
lilycollias         10
Claude Amadeo       7

"In The Summers" (Alessandra Lacorazza) [U.S. Dramatic]
 — On a journey that spans the formative years of their lives, two sisters navigate their loving but volatile father during their yearly summer visits to his home in Las Cruces, New Mexico. Cast: René Pérez Joglar, Sasha Calle, Lío Mehiel, Leslie Grace, Emma Ramos, Sharlene Cruz. World Premiere. Available online for Public.

#letterboxd
cinephiliaverite    6

"Love Me" (Sam Zuchero, Andy Zuchero) [U.S. Dramatic]
